M0	M2	IOC	IPC	KVVE
4.70	2.00	29.20	21.20	2.10
15.40	13.20	11.40	18.10	13.40
18.70	8.00	9.30	11.40	10.10
29.90	7.90	5.10	5.80	11.90
1.60	10.80	7.10	4.60	9.00
19.00	13.10	8.60	4.80	17.40
13.80	11.50	4.30	5.20	13.10
3.90	4.70	6.50	4.60	4.40
6.10	2.80	9.90	14.20	3.10
-5.10	-2.40	8.40	9.10	5.50
4.90	0.10	4.20	6.20	1.40
17.80	9.80	2.60	4.60	-0.60
-1.80	-4.60	3.40	9.40	7.40
8.70	4.50	2.90	7.40	-4.10
0.10	4.10	1.90	3.00	1.30
9.90	1.40	1.50	2.40	-0.10
3.70	2.10	0.80	0.70	0.20
4.20	2.50	0.40	0.10	1.20
8.80	4.50	0.60	0.10	2.50
-11.80	-4.10	0.40	5.70	1.60
4.40	0.70	1.00	2.00	1.40
4.20	3.00	0.10	1.50	2.20
0.80	2.20	1.20	1.20	-0.10
15.50	12.90	0.90	0.90	8.80
